ID_Manufacturer;Numer katalogowy;Skrócony numer katalogowy;Kategoria produktu;ID_kategorii;Model;Nazwa;Opis;Zdjęcie głowne;Zdjęcie dodatkowe;Meta opis;Meta słowa kluczowe;cena;Price flag;Hydrokolor;Kolor;Dodatkowe kolory;Waga;Rozmiar (szerokość x wysokość x głębokość);Pojemność;Material;Dodatkowy materiał wykonania;Rozmiar opakowania;Multipack;Rozmiar opakowania zbiorczego;Minimalne zamówienie;Coloration;Znakowanie;Kraj produkcji;Maksymalny rozmiar nadruku
12;R08343.06;R08343.06;Inne;18;R08342.79;Kubek stalowy Day 380 ml, biały ;Kubek o pojemności 380 ml z dwiema ściankami ze stali nierdzewnej, wewnątrz kubka stal o podwyższonej jakości 18/8. Pokryty błyszczącym lakierem. Kształtem nawiązuje do kubków ceramicznych.;Kubek-stalowy-Day-380-ml-bialy.jpg;Kubek-stalowy-Day-380-ml-bialy-a.jpg, Kubek-stalowy-Day-380-ml-bialy-b.jpg, Kubek-stalowy-Day-380-ml-bialy-c.jpg, Kubek-stalowy-Day-380-ml-bialy-d.jpg;Kubek stalowy Day 380 ml, biały  to pozornie zwyczajnie kubek. Wystarczy zajrzeć do środka, by zorientować się, że jest inaczej. W środku wykonany jest ze stali nierdzewnej. Na zewnątrz jest lakierowany. ;kubek stalowy day reklamowy z nadrukiem z logo dla firm;27,9;1;;biały;;;82 x 98 x 82;380 ml;stal nierdzewna;;;;;;;"grawer L3, rozmiar obszaru zdobienia: 53x64, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 50x65, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 53x52, maksymalny rozmiar logo: 25x50, ilość kolorów: 1
UV U3, rozmiar obszaru zdobienia: 50x51, maksymalny rozmiar logo: 25x50, ilość kolorów: 1";;53x64
12;R08390;R08390;Inne;18;R08343.06;Kubek Sturdy 240 ml, srebrny ;Kubek ze stali nierdzewnej z dwiema ściankami ze stali nierdzewnej, wewnątrz kubka stal o podwyższonej jakości 18/8 Pojemność 240 ml.;Kubek-Sturdy-240-ml-srebrny.jpg;Kubek-Sturdy-240-ml-srebrny-a.jpg, Kubek-Sturdy-240-ml-srebrny-b.jpg;Kubek Sturdy 240 ml, srebrny wykonany ze stali nierdzewnej. Przydatny w podróży i na biwaku. Możliwosć znakowania.;kubek sturdy ze stali nierdzewnej reklamowy z nadrukiem z logo dla firm;18,9;1;;srebrny;;;75 x 88 x 75;240 ml;stal nierdzewna;;;;;;;"grawer L3, rozmiar obszaru zdobienia: 50x65, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 50x65, maksymalny rozmiar logo: 50x30, ilość kolorów: 1";;50x65
12;R08224.05;R08224.05;Kubki termiczne;21;R08390;Kubek izotermiczny Skien 350 ml, zielony ;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal nierdzewną 18/8 o podwyższonej jakości, na zewnątrz plastik. Podstawa kubka z pianki termoizolacyjnej.;Kubek-izotermiczny-Skien-350-ml-zielony.jpg;Kubek-izotermiczny-Skien-350-ml-zielony-a.jpg, Kubek-izotermiczny-Skien-350-ml-zielony-b.jpg, Kubek-izotermiczny-Skien-350-ml-zielony-c.jpg;Kubek izotermiczny Skien 350 ml, zielony - doskonały do ciepłych napojów. Wewnątrz zastosowano stal nierdzewną 18/8. Na zewnątrz estetyczny plastik w wielu kolorach do wyboru.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;19,9;1;;zielony;;;76 x 180 x 76;350 ml;stal nierdzewna 18/8;plastik;75 x 80 x 195;50;405 x 405 x 395;108;;"tampodruk A3, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A3, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A4, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x100, ilość kolorów: 2";;33x120
12;R08224.21;R08224.21;Kubki termiczne;21;R08224.05;Kubek izotermiczny Skien 350 ml, szary ;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal nierdzewną 18/8 o podwyższonej jakości, na zewnątrz plastik. Podstawa kubka z pianki termoizolacyjnej.;Kubek-izotermiczny-Skien-350-ml-szary.jpg;Kubek-izotermiczny-Skien-350-ml-szary-a.jpg, Kubek-izotermiczny-Skien-350-ml-szary-b.jpg, Kubek-izotermiczny-Skien-350-ml-szary-c.jpg;Kubek izotermiczny Skien 350 ml, szary - doskonały do ciepłych napojów. Wewnątrz zastosowano stal nierdzewną 18/8. Na zewnątrz estetyczny plastik w wielu kolorach do wyboru.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;19,9;1;;szary;;;76 x 180 x 76;350 ml;stal nierdzewna 18/8;plastik;75 x 80 x 195;50;405 x 405 x 395;108;;"tampodruk A3, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A3, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A4, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 33x120, maksymalny rozmiar logo: 30x100, ilość kolorów: 2";;33x120
12;R08225.04;R08225.04;Kubki termiczne;21;R08224.21;Kubek izotermiczny Askim 350 ml, niebieski ;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal nierdzewną 18/8 o podwyższonej jakości, na zewnątrz plastik. Podstawa kubka z pianki termoizolacyjnej.;Kubek-izotermiczny-Askim-350-ml-niebieski.jpg;Kubek-izotermiczny-Askim-350-ml-niebieski-a.jpg, Kubek-izotermiczny-Askim-350-ml-niebieski-b.jpg, Kubek-izotermiczny-Askim-350-ml-niebieski-c.jpg;Kubek izotermiczny Askim 350 ml, niebieski - doskonały do ciepłych napojów. Wewnątrz zastosowano stal nierdzewną 18/8. Na zewnątrz estetyczny plastik w wielu kolorach do wyboru.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;19,9;1;;niebieski;;;76 x 180 x 76;350 ml;stal nierdzewna 18/8;plastik;75 x 80 x 195;50;405 x 405 x 395;108;;"tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2";;31x122
12;R08225.05;R08225.05;Kubki termiczne;21;R08225.04;Kubek izotermiczny Askim 350 ml, zielony ;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal nierdzewną 18/8 o podwyższonej jakości, na zewnątrz plastik. Podstawa kubka z pianki termoizolacyjnej.;Kubek-izotermiczny-Askim-350-ml-zielony.jpg;Kubek-izotermiczny-Askim-350-ml-zielony-a.jpg, Kubek-izotermiczny-Askim-350-ml-zielony-b.jpg, Kubek-izotermiczny-Askim-350-ml-zielony-c.jpg;Kubek izotermiczny Askim 350 ml, zielony - doskonały do ciepłych napojów. Wewnątrz zastosowano stal nierdzewną 18/8. Na zewnątrz estetyczny plastik w wielu kolorach do wyboru.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;19,9;1;;zielony;;;76 x 180 x 76;350 ml;stal nierdzewna 18/8;plastik;75 x 80 x 195;50;405 x 405 x 395;108;;"tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2";;31x122
12;R08225.08;R08225.08;Kubki termiczne;21;R08225.05;Kubek izotermiczny Askim 350 ml, czerwony ;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal nierdzewną 18/8 o podwyższonej jakości, na zewnątrz plastik. Podstawa kubka z pianki termoizolacyjnej.;Kubek-izotermiczny-Askim-350-ml-czerwony.jpg;Kubek-izotermiczny-Askim-350-ml-czerwony-a.jpg, Kubek-izotermiczny-Askim-350-ml-czerwony-b.jpg, Kubek-izotermiczny-Askim-350-ml-czerwony-c.jpg;Kubek izotermiczny Askim 350 ml, czerwony - doskonały do ciepłych napojów. Wewnątrz zastosowano stal nierdzewną 18/8. Na zewnątrz estetyczny plastik w wielu kolorach do wyboru.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;19,9;1;;czerwony;;;76 x 180 x 76;350 ml;stal nierdzewna 18/8;plastik;75 x 80 x 195;50;405 x 405 x 395;108;;"tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2";;31x122
12;R08225.21;R08225.21;Kubki termiczne;21;R08225.08;Kubek izotermiczny Askim 350 ml, szary ;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal nierdzewną 18/8 o podwyższonej jakości, na zewnątrz plastik. Podstawa kubka z pianki termoizolacyjnej.;Kubek-izotermiczny-Askim-350-ml-szary.jpg;Kubek-izotermiczny-Askim-350-ml-szary-a.jpg, Kubek-izotermiczny-Askim-350-ml-szary-b.jpg, Kubek-izotermiczny-Askim-350-ml-szary-c.jpg;Kubek izotermiczny Askim 350 ml, szary - doskonały do ciepłych napojów. Wewnątrz zastosowano stal nierdzewną 18/8. Na zewnątrz estetyczny plastik w wielu kolorach do wyboru.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;19,9;1;;szary;;;76 x 180 x 76;350 ml;stal nierdzewna 18/8;plastik;75 x 80 x 195;50;405 x 405 x 395;108;;"tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2";;31x122
12;R08225.33;R08225.33;Kubki termiczne;21;R08225.21;Kubek izotermiczny Askim 350 ml, różowy ;Kubek izotermiczny o pojemności 350 ml. Wewnątrz kubka zastosowano stal nierdzewną 18/8 o podwyższonej jakości, na zewnątrz plastik. Podstawa kubka z pianki termoizolacyjnej.;Kubek-izotermiczny-Askim-350-ml-rozowy.jpg;Kubek-izotermiczny-Askim-350-ml-rozowy-a.jpg, Kubek-izotermiczny-Askim-350-ml-rozowy-b.jpg, Kubek-izotermiczny-Askim-350-ml-rozowy-c.jpg;Kubek izotermiczny Askim 350 ml, różowy - doskonały do ciepłych napojów. Wewnątrz zastosowano stal nierdzewną 18/8. Na zewnątrz estetyczny plastik w wielu kolorach do wyboru.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;19,9;1;;różowy;;;76 x 180 x 76;350 ml;stal nierdzewna 18/8;plastik;75 x 80 x 195;50;405 x 405 x 395;108;;"tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A3, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x30, ilość kolorów: 4
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2
tampodruk A4, rozmiar obszaru zdobienia: 31x122, maksymalny rozmiar logo: 30x100, ilość kolorów: 2";;31x122
12;R08285.02;R08285.02;Kubki termiczne;21;R08225.33;Kubek izotermiczny Harbin 350 ml, czarny ;Szczelny kubek izotermiczny o pojemności 350 ml. Dwie ścianki ze stali nierdzewnej, wewnątrz stal 18/8 o podwyższonej jakości. Próżnia pomiędzy ściankami zapewnia bardzo dobre właściwości termoizolacyjne. Funkcjonalny przycisk open/close umieszczony na wieczku oraz opaska ułatwiająca trzymanie kubka w dłoni.;Kubek-izotermiczny-Harbin-350-ml-czarny.jpg;Kubek-izotermiczny-Harbin-350-ml-czarny-a.jpg, Kubek-izotermiczny-Harbin-350-ml-czarny-b.jpg, Kubek-izotermiczny-Harbin-350-ml-czarny-c.jpg, Kubek-izotermiczny-Harbin-350-ml-czarny-d.jpg, Kubek-izotermiczny-Harbin-350-ml-czarny-e.jpg, Kubek-izotermiczny-Harbin-350-ml-czarny-f.jpg;Kubek izotermiczny Harbin 350 ml, czarny o pojemności 350 ml. Dobry gadżet reklamowy, gdy wiesz, że Twoi klienci prowadzą aktywny tryb życia. Zatrzymuje temperaturę napoju na dłużej. Silikonowa opaska w różnych kolorach ułatwia trzymanie.;kubek reklamowy z logo z nadrukiem producent termiczny ceramiczny emaliowany izotermiczny dla firm;32,9;1;;czarny;;;76 x 200 x 76;350 ml;stal nierdzewna 18/8 i 18/0;silikon;;;;;;"grawer L3, rozmiar obszaru zdobienia: 51x37, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 51x37, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 51x37, maksymalny rozmiar logo: 50x30, ilość kolorów: 1
grawer L3, rozmiar obszaru zdobienia: 51x37, maksymalny rozmiar logo: 50x30, ilość kolorów: 1";;51x37
